state,district,month,rainfall_mm,temp_high_c,temp_low_c,temp_avg_c,humidity_percent,sunlight_hours,wind_speed_kmph,wind_direction,rain_probability,rain_duration_hours
Uttar Pradesh,Kanpur,Apr-22,78.9,33,28,30.5,48,7.3,5.2,NW,48%,2.6
Tamil Nadu,Chennai,Oct-24,79,41,32,36.5,80,7.2,19.1,E,81%,1.9
Uttar Pradesh,Kanpur,Feb-20,22.8,33,27,30,38,9.6,17.8,NW,42%,2.9
Gujarat,Ahmedabad,Apr-22,51.2,29,23,26,45,6.6,23.7,S,53%,4.7
Karnataka,Bengaluru,Nov-22,58,29,20,24.5,87,4.4,14.9,W,42%,2.9
Maharashtra,Mumbai,Feb-21,31.5,41,29,35,38,9,11.5,W,70%,1.9
Karnataka,Mysuru,Dec-24,75.7,37,26,31.5,68,8.7,15.2,NW,68%,4.7
Uttar Pradesh,Lucknow,Jan-23,21.9,29,23,26,56,7.9,17,SW,87%,3.9
Uttar Pradesh,Agra,Mar-21,27.2,25,14,19.5,74,7.3,14.8,NW,25%,0.4
Karnataka,Mysuru,Mar-24,65.5,41,32,36.5,86,9,14.3,E,81%,0.2
Maharashtra,Nashik,Apr-20,11.3,27,16,21.5,73,5.9,15.7,NW,60%,1.8
Uttar Pradesh,Kanpur,Jan-21,14.6,28,16,22,71,6,22.4,N,69%,5
Karnataka,Bengaluru,May-20,54.5,32,23,27.5,87,5,17.9,SE,57%,5
Karnataka,Mangaluru,Mar-24,43.1,26,19,22.5,38,9.2,12.7,E,29%,1.7
Gujarat,Vadodara,Jun-20,341,32,27,29.5,76,8.6,21.8,N,16%,1.6
Gujarat,Ahmedabad,Dec-24,63.5,30,25,27.5,49,9.8,7.1,N,58%,2.8
Karnataka,Mysuru,Jan-20,57.9,28,23,25.5,34,9.8,18.3,SE,57%,2.5
Maharashtra,Pune,Jul-23,273.6,42,33,37.5,32,7.3,12.9,W,62%,3.6
Gujarat,Rajkot,Aug-22,30.8,27,16,21.5,55,7.1,21.8,SE,72%,4.4
Karnataka,Mysuru,Sep-20,166.7,27,17,22,70,6.3,8.6,SE,13%,3.7
Karnataka,Mysuru,Jul-22,118.5,34,28,31,33,8.7,13.3,NE,73%,3.6
Maharashtra,Nashik,Apr-22,21.6,27,21,24,77,8.4,13.6,NE,88%,4.5
Uttar Pradesh,Varanasi,Jun-22,32.5,26,17,21.5,75,5.2,17.5,SW,63%,3
Uttar Pradesh,Varanasi,Jan-21,18.6,31,25,28,88,9.4,12.5,W,75%,2.2
Karnataka,Bengaluru,Nov-20,35.9,34,23,28.5,34,6.5,24.9,NW,52%,2.8
Tamil Nadu,Madurai,Oct-24,61,26,16,21,79,5.8,6,NE,45%,4.7
Uttar Pradesh,Lucknow,Jun-24,264,40,31,35.5,53,8.6,11.5,S,34%,4.5
Maharashtra,Nagpur,Sep-21,88,32,27,29.5,36,6.9,6,SW,53%,0.2
Gujarat,Rajkot,Feb-21,2.7,35,29,32,58,5.1,11.7,SW,65%,2.1
Uttar Pradesh,Varanasi,Nov-20,63,26,14,20,34,7.7,18.6,W,44%,2.2
Maharashtra,Mumbai,Oct-24,28.2,27,20,23.5,30,8.8,15.9,N,26%,3
Tamil Nadu,Coimbatore,Jun-23,193.5,36,29,32.5,48,6,13.7,E,24%,3.3
Karnataka,Mangaluru,Nov-23,2.4,32,27,29.5,82,4.7,8.6,SW,38%,2.2
Maharashtra,Mumbai,Apr-22,52.5,42,37,39.5,78,8,12.1,NW,71%,1.5
Gujarat,Surat,Jul-24,260.4,32,20,26,78,5.2,6.8,N,46%,1.7
Uttar Pradesh,Agra,Mar-24,60.4,33,22,27.5,47,8.4,5.7,NW,45%,2.9
Maharashtra,Nagpur,Jul-21,102.7,38,31,34.5,42,4.3,11.4,SW,24%,3.2
Uttar Pradesh,Lucknow,Feb-24,65.5,35,26,30.5,71,5.7,23.7,NE,41%,1.9
Tamil Nadu,Coimbatore,Jan-23,23.8,32,22,27,54,4.1,21.4,SW,71%,2.5
Maharashtra,Mumbai,Dec-24,9.1,31,22,26.5,50,8,22.9,SE,72%,4.1
Tamil Nadu,Coimbatore,Nov-24,50.7,39,30,34.5,36,8.2,17.2,NW,70%,3.8
Gujarat,Vadodara,Jul-20,383.1,31,19,25,52,9,10.4,NW,18%,1.2
Uttar Pradesh,Kanpur,Aug-22,199.5,32,26,29,46,9.3,16.8,NW,67%,0.1
Karnataka,Mangaluru,Jun-24,282.1,39,33,36,64,4.3,9.9,NW,75%,3.5
Tamil Nadu,Madurai,Dec-21,7.3,31,21,26,50,9.8,10.9,SE,78%,2.9
Karnataka,Mysuru,Feb-21,30.7,42,34,38,45,4.4,14.2,S,33%,3.9
Karnataka,Mangaluru,Sep-23,321,32,20,26,60,7.9,18.3,E,29%,4.7
Uttar Pradesh,Kanpur,Jun-22,188.8,31,22,26.5,79,9.6,12.4,NE,79%,1.3
Uttar Pradesh,Varanasi,Dec-24,37.7,40,31,35.5,32,5.9,15.3,SE,62%,2.2
Karnataka,Mysuru,Sep-23,132.3,29,18,23.5,43,9.3,20.5,SW,88%,2.5
Tamil Nadu,Madurai,Jun-24,385.8,35,25,30,81,4.4,6.9,E,29%,0.2
Gujarat,Rajkot,Jan-23,11.8,35,26,30.5,61,9.1,8.9,SW,68%,2.6
Tamil Nadu,Coimbatore,Jul-22,332.5,42,35,38.5,89,6.1,6.3,SW,12%,4.8
Karnataka,Mangaluru,Oct-24,41.9,35,28,31.5,87,8.9,11.8,E,73%,0.1
Maharashtra,Nagpur,Apr-20,60.2,31,22,26.5,71,4.7,21.5,NW,17%,1.1
Uttar Pradesh,Varanasi,Jun-23,318,33,27,30,80,6,16.2,NW,46%,3.6
Maharashtra,Mumbai,Jan-22,41.3,26,20,23,48,5.4,11.1,N,18%,2
Uttar Pradesh,Kanpur,Nov-22,67.3,34,22,28,56,5.2,7.8,NE,39%,4.3
Uttar Pradesh,Agra,Feb-20,20.3,31,24,27.5,51,8.3,10.3,N,53%,0.2
Maharashtra,Nashik,Apr-21,57.7,35,25,30,42,5.9,5.7,NE,49%,1.8
Uttar Pradesh,Kanpur,Aug-21,269,26,14,20,47,7.5,20.3,NW,75%,1.3
Tamil Nadu,Chennai,Jan-22,15.8,40,29,34.5,38,5,10.8,SW,59%,1.8
Tamil Nadu,Chennai,Jul-24,296.2,31,22,26.5,81,5.4,15.2,SE,61%,3.3
Maharashtra,Mumbai,Oct-23,69,31,21,26,79,9.1,5.3,N,52%,4.9
Uttar Pradesh,Agra,Apr-22,76,28,19,23.5,42,7.7,24,NW,29%,1.9
Tamil Nadu,Chennai,Jan-24,49,26,16,21,48,7.1,11.6,N,48%,4
Gujarat,Vadodara,Aug-20,122.9,36,26,31,36,6,9.9,SE,23%,2.7
Maharashtra,Nagpur,Jul-20,346.4,37,28,32.5,56,7.2,14.9,NE,70%,4.1
Karnataka,Hubli,Sep-23,391.1,36,26,31,43,7.7,5.3,S,89%,1.3
Karnataka,Mangaluru,May-24,20.8,41,30,35.5,61,7.1,13.4,E,47%,3.6
Gujarat,Ahmedabad,Nov-20,14.8,38,26,32,90,9.6,23.8,E,72%,3.7
Uttar Pradesh,Kanpur,Aug-23,229.1,40,30,35,70,5.9,13.7,E,69%,4.8
Tamil Nadu,Tiruchirappalli,Sep-23,188.8,30,19,24.5,72,5.2,23.1,S,59%,3
Uttar Pradesh,Agra,Sep-20,17.2,36,25,30.5,41,4.2,5,SW,87%,4.1
Maharashtra,Pune,Dec-20,24.2,42,31,36.5,62,8.1,11.2,NE,41%,3.8
Gujarat,Surat,Jun-23,169.2,26,17,21.5,53,7.3,6.9,E,45%,4.4
Uttar Pradesh,Kanpur,Oct-20,4.8,35,23,29,33,5.7,14.8,SE,61%,0.6
Maharashtra,Nagpur,Jul-22,71.3,36,30,33,82,8.1,20.2,SE,34%,0.3
Gujarat,Rajkot,Oct-23,28.4,26,21,23.5,35,7.4,9.9,E,52%,0.9
Gujarat,Rajkot,Jan-20,55.1,39,33,36,83,7.7,13.9,SW,31%,2.5
Maharashtra,Nagpur,Feb-21,60.5,27,21,24,74,7.6,6.9,S,78%,2.4
Tamil Nadu,Madurai,Aug-21,133.1,31,23,27,37,7.3,18.5,NE,47%,4.8
Uttar Pradesh,Agra,Jun-20,296,42,34,38,45,5.5,5.7,N,44%,1.5
Gujarat,Ahmedabad,Nov-20,14.8,38,26,32,90,9.6,23.8,E,72%,3.7
Karnataka,Bengaluru,Jan-24,48,35,28,31.5,75,5.3,18.1,NE,38%,1.7
Uttar Pradesh,Varanasi,Mar-23,9.3,35,30,32.5,53,7.4,21.1,NE,50%,0.8
Karnataka,Hubli,Apr-24,79.2,27,21,24,44,9.9,22.7,NW,90%,1.8
Tamil Nadu,Coimbatore,Jul-21,112.2,42,30,36,36,8,18.7,NE,84%,2.9
Karnataka,Bengaluru,Dec-21,3.4,38,29,33.5,54,5.9,15.5,SW,67%,3
Uttar Pradesh,Agra,Jun-20,296,42,34,38,45,5.5,5.7,N,44%,1.5
Tamil Nadu,Tiruchirappalli,Oct-20,26.2,41,36,38.5,36,8.1,8.2,SE,79%,4.7
Tamil Nadu,Coimbatore,Jul-23,156.3,40,28,34,85,8.7,11,SW,18%,4.8
Maharashtra,Mumbai,May-21,2.5,39,32,35.5,89,6.2,21,NE,71%,1.7
Tamil Nadu,Tiruchirappalli,Jun-24,65.2,32,23,27.5,50,6.8,8.4,S,65%,1.7
Uttar Pradesh,Lucknow,Apr-20,29.6,30,21,25.5,53,5.7,17.7,SW,33%,1.8
Uttar Pradesh,Kanpur,Jul-21,48.6,34,25,29.5,38,6.6,16.1,NE,67%,0.5
Maharashtra,Pune,Jun-21,9.6,33,23,28,65,6.2,6,NW,20%,2.4
Karnataka,Mangaluru,Aug-21,367.6,35,28,31.5,41,9.6,10.6,SE,79%,2.8
Tamil Nadu,Chennai,Dec-24,59.4,36,24,30,37,7.6,7.8,SE,58%,0.4
Gujarat,Vadodara,Jul-23,83.1,29,18,23.5,45,6.7,17,SE,45%,1.8
Uttar Pradesh,Agra,Jun-24,145.3,33,23,28,57,8,19.7,SE,81%,2.7
Tamil Nadu,Madurai,Aug-24,165.7,26,19,22.5,90,9.8,15,NW,49%,1.7
Gujarat,Vadodara,Oct-21,14,30,20,25,79,5.6,13.5,S,47%,0.4
Uttar Pradesh,Agra,Nov-20,49.3,26,17,21.5,52,7.5,6.3,SW,41%,3.2
Maharashtra,Pune,Feb-21,9,33,26,29.5,78,5,6.7,NE,38%,3.7
Gujarat,Surat,Nov-24,5.3,30,23,26.5,53,8.7,16.6,SW,72%,0.2
Uttar Pradesh,Agra,Apr-24,46.9,29,18,23.5,60,5.2,9,NW,71%,3
Uttar Pradesh,Varanasi,Nov-20,63,26,14,20,34,7.7,18.6,W,44%,2.2
Maharashtra,Nashik,Mar-24,12.2,36,30,33,30,5.8,9.5,NW,24%,2.8
Tamil Nadu,Madurai,Sep-20,82.8,37,28,32.5,63,9.7,21.1,SW,36%,4.6
Maharashtra,Nagpur,Jun-20,204.6,41,30,35.5,73,6.5,21.5,NE,35%,1.5
Tamil Nadu,Tiruchirappalli,Feb-23,65.8,31,19,25,49,9.9,20.9,SE,10%,3.1
Uttar Pradesh,Lucknow,Nov-20,61.6,35,30,32.5,53,8.1,10.2,NW,75%,2.3
Tamil Nadu,Madurai,Nov-20,35.2,29,18,23.5,33,6.2,21.5,SW,53%,0.1
Uttar Pradesh,Kanpur,Aug-22,199.5,32,26,29,46,9.3,16.8,NW,67%,0.1
Tamil Nadu,Tiruchirappalli,Aug-22,103.1,32,24,28,70,6.7,20,S,65%,0.5
Maharashtra,Nagpur,Feb-21,60.5,27,21,24,74,7.6,6.9,S,78%,2.4
Maharashtra,Nashik,Aug-23,17.1,28,19,23.5,87,9.4,21.6,SW,62%,4.3
Tamil Nadu,Madurai,Apr-23,53.5,31,25,28,65,4.1,21,SE,19%,4
Uttar Pradesh,Kanpur,Apr-22,78.9,33,28,30.5,48,7.3,5.2,NW,48%,2.6
Gujarat,Vadodara,Jul-22,400,27,16,21.5,33,5.3,12,NE,49%,3.1
Maharashtra,Pune,Oct-22,10.7,29,18,23.5,63,5.2,18.4,S,13%,3.5
Uttar Pradesh,Kanpur,Apr-22,78.9,33,28,30.5,48,7.3,5.2,NW,48%,2.6
Uttar Pradesh,Kanpur,Sep-22,25.9,29,24,26.5,38,9.6,17.8,S,75%,1.5
Uttar Pradesh,Lucknow,Apr-24,11,26,18,22,30,5.4,12.7,NE,42%,4.3
Maharashtra,Nagpur,Jun-20,204.6,41,30,35.5,73,6.5,21.5,NE,35%,1.5
Tamil Nadu,Tiruchirappalli,Jan-23,44.1,36,28,32,87,5,18.7,W,60%,3.3
Maharashtra,Nagpur,Jan-22,71,25,20,22.5,33,4.5,18.1,SW,25%,4.1
Karnataka,Hubli,Sep-23,391.1,36,26,31,43,7.7,5.3,S,89%,1.3
Karnataka,Mysuru,Jul-21,393.8,40,34,37,51,4.3,17.8,NW,25%,3.6
Maharashtra,Mumbai,Jan-22,41.3,26,20,23,48,5.4,11.1,N,18%,2
Maharashtra,Mumbai,May-23,55.1,36,27,31.5,76,5.2,16.9,NE,10%,2.4
Tamil Nadu,Tiruchirappalli,Feb-22,1.2,33,28,30.5,59,8,23.3,SE,24%,3.1
Tamil Nadu,Madurai,Nov-20,35.2,29,18,23.5,33,6.2,21.5,SW,53%,0.1
Gujarat,Ahmedabad,Sep-22,277.6,34,22,28,77,4.1,24.4,E,12%,4.6
Tamil Nadu,Tiruchirappalli,Sep-20,104.6,41,32,36.5,55,7.7,10.4,N,36%,3.6
Karnataka,Hubli,Apr-22,49.9,28,17,22.5,86,7.3,16,NE,42%,3.9
Tamil Nadu,Coimbatore,Nov-23,20.4,28,20,24,77,5.5,9,E,76%,2.8
Karnataka,Mangaluru,May-21,52.1,39,29,34,90,4.2,18,W,49%,3.8
Karnataka,Mangaluru,Dec-20,51.5,42,34,38,58,9.6,18.2,S,50%,4.7
Maharashtra,Nagpur,May-22,79.1,27,18,22.5,64,8.2,22.9,SE,51%,1.6
Uttar Pradesh,Varanasi,Feb-21,62.7,37,32,34.5,66,4.7,8.7,NE,43%,3.3
Karnataka,Mysuru,Oct-22,44.7,27,16,21.5,63,4.7,12.5,NW,90%,1.5
Tamil Nadu,Coimbatore,Aug-24,345.9,41,35,38,69,7.3,24.1,NE,58%,4.9
Karnataka,Hubli,Feb-23,3.6,26,21,23.5,70,7,6.5,N,74%,0.4
Uttar Pradesh,Agra,Apr-20,19.5,41,33,37,62,5.3,17,SE,57%,0.2
Gujarat,Vadodara,Mar-21,38.8,28,16,22,50,9,23.2,NW,31%,2.3
Tamil Nadu,Chennai,Aug-20,76.3,42,31,36.5,37,9.7,16,E,43%,0.2
Uttar Pradesh,Kanpur,Dec-21,50.2,29,19,24,45,6.1,7.8,SE,66%,4.1
Gujarat,Ahmedabad,Mar-21,42.8,25,17,21,48,9.8,22.1,NW,69%,0.1
Tamil Nadu,Chennai,Aug-22,9.4,39,28,33.5,86,5.8,15.2,W,18%,0.4
Tamil Nadu,Chennai,Sep-23,88.4,26,20,23,73,7.3,18.3,W,81%,3.4
Maharashtra,Mumbai,Apr-24,58.6,41,34,37.5,53,4.5,9.7,S,80%,2.7
Karnataka,Mangaluru,Aug-22,170.8,36,24,30,67,5.6,6.7,W,84%,1.6
Uttar Pradesh,Varanasi,Jun-20,391.6,30,23,26.5,63,9.2,24,NE,11%,1.1
Uttar Pradesh,Varanasi,Aug-21,210.7,27,19,23,53,8.2,22.2,W,57%,4.5
Gujarat,Vadodara,Jul-21,13.8,39,34,36.5,85,7.3,22,S,64%,1.4
Uttar Pradesh,Lucknow,Jun-23,210.3,40,32,36,63,5.7,17.2,E,55%,3.6
Maharashtra,Nagpur,Nov-22,40.4,38,26,32,80,4.6,19.8,N,68%,0.6
Gujarat,Surat,Jul-22,223.4,33,24,28.5,49,5.2,16.2,SE,11%,1.5
Uttar Pradesh,Lucknow,Jul-21,122.7,41,31,36,90,5.7,17.8,S,72%,3.2
Gujarat,Rajkot,Oct-21,34.3,29,21,25,69,4.1,13.2,W,24%,3.4
Karnataka,Mysuru,Sep-20,166.7,27,17,22,70,6.3,8.6,SE,13%,3.7
Uttar Pradesh,Lucknow,Nov-24,6.1,39,33,36,58,9.6,22.1,N,36%,3.9
Maharashtra,Nagpur,May-24,59.3,25,14,19.5,30,4.7,15.7,S,80%,1.8
Gujarat,Rajkot,Mar-22,43.2,36,25,30.5,83,5.3,15.4,S,37%,0.3
Tamil Nadu,Coimbatore,Nov-21,15.7,40,35,37.5,78,8.4,16.2,NE,24%,4.8
Maharashtra,Pune,Mar-24,16.7,31,26,28.5,36,4.9,16.3,W,83%,1.5
Uttar Pradesh,Agra,Mar-22,1.5,34,23,28.5,50,8.1,12.9,SE,79%,0.2
Uttar Pradesh,Varanasi,Jul-23,186.7,41,31,36,50,8.2,5.8,SE,34%,0
Uttar Pradesh,Agra,Dec-24,43.4,34,29,31.5,69,5.1,20.6,S,17%,1.7
Uttar Pradesh,Kanpur,Mar-24,2.7,41,36,38.5,50,9.9,23.1,W,23%,2.5
Uttar Pradesh,Varanasi,Apr-21,79.6,40,30,35,37,7.3,7.1,S,57%,1.7
Karnataka,Bengaluru,Apr-24,45.7,28,19,23.5,76,5.1,14,S,51%,3.2
Tamil Nadu,Chennai,Apr-22,6,40,34,37,49,8.2,23.2,SE,56%,3.8
Maharashtra,Mumbai,Aug-24,91.7,32,26,29,65,5.4,22.1,NE,31%,3.7
Maharashtra,Mumbai,Jun-23,204.3,28,20,24,89,9.8,14.5,SE,29%,0.9
Tamil Nadu,Coimbatore,Oct-24,14.9,25,16,20.5,64,9.1,18.4,NW,60%,1.2
Maharashtra,Nashik,May-22,23.7,31,24,27.5,82,7.3,20.8,N,58%,2.8
Karnataka,Mangaluru,Aug-20,341.8,28,22,25,31,6.6,17.4,SE,79%,2.4
Tamil Nadu,Madurai,Jun-23,361.4,25,13,19,43,5.1,5.6,NW,73%,3.9
Maharashtra,Nashik,Jan-20,75.1,36,31,33.5,85,5.4,15.3,S,26%,1.7
Tamil Nadu,Tiruchirappalli,Oct-22,79.2,39,30,34.5,50,4.7,19.7,SE,44%,3.4
Gujarat,Vadodara,Nov-24,48.8,25,20,22.5,83,9.4,20.4,NE,58%,3.1
Karnataka,Mysuru,Dec-21,18.4,34,26,30,71,4.3,15.7,W,10%,3.6
Uttar Pradesh,Varanasi,Nov-23,32.2,26,17,21.5,85,9.5,15.4,N,70%,3.1
Maharashtra,Mumbai,Mar-23,36.2,35,28,31.5,56,5.1,7.5,W,18%,3.5
Maharashtra,Mumbai,Oct-20,18.1,30,21,25.5,85,9.6,11.9,S,24%,4.4
Tamil Nadu,Madurai,May-20,48.9,32,26,29,83,9.2,6.2,N,33%,1.7
Tamil Nadu,Madurai,Sep-21,146.9,31,24,27.5,78,8.2,5.7,SW,30%,3.7
Karnataka,Hubli,Apr-20,76.5,42,36,39,88,7.8,6.3,S,83%,0.4
Uttar Pradesh,Kanpur,Aug-21,269,26,14,20,47,7.5,20.3,NW,75%,1.3
Uttar Pradesh,Lucknow,Apr-23,42.7,40,32,36,51,8.9,5.6,SE,34%,2.9
Maharashtra,Mumbai,Sep-22,341.9,37,32,34.5,40,8,18.9,NE,84%,3.7
Tamil Nadu,Madurai,Nov-21,2.2,27,15,21,87,9.8,13.4,NW,30%,0.1
Gujarat,Rajkot,Apr-21,69.9,41,31,36,75,5.7,14.6,NE,20%,3.4
Uttar Pradesh,Kanpur,Apr-24,28,25,15,20,61,6.4,14.7,N,19%,0.5
Tamil Nadu,Tiruchirappalli,Oct-22,79.2,39,30,34.5,50,4.7,19.7,SE,44%,3.4
Maharashtra,Nagpur,Sep-22,307.4,41,31,36,89,8.2,12.3,SW,49%,3.3
Tamil Nadu,Chennai,Jan-20,41.4,39,34,36.5,50,7.4,14.7,NE,13%,0.9
Uttar Pradesh,Kanpur,Feb-21,55.9,42,33,37.5,80,8,7.2,SE,83%,4.6
Tamil Nadu,Tiruchirappalli,Jul-23,138.2,36,28,32,30,6.9,12.7,N,63%,1.8
Gujarat,Vadodara,Jul-21,13.8,39,34,36.5,85,7.3,22,S,64%,1.4
Karnataka,Mangaluru,Feb-20,37.8,27,16,21.5,43,4.4,5.5,NW,65%,2.1
Maharashtra,Mumbai,Mar-20,78.6,38,31,34.5,49,7.5,19.5,SE,15%,2.5
Gujarat,Rajkot,Jan-23,11.8,35,26,30.5,61,9.1,8.9,SW,68%,2.6
Maharashtra,Pune,Jun-24,194.8,41,29,35,75,4.5,8.7,W,80%,2.7
Maharashtra,Pune,Jun-20,239.6,37,30,33.5,74,5,19.8,S,68%,1
Maharashtra,Nagpur,Feb-21,60.5,27,21,24,74,7.6,6.9,S,78%,2.4
Tamil Nadu,Madurai,Apr-21,29.2,36,30,33,65,8.3,15.1,N,24%,4.9
Uttar Pradesh,Agra,Mar-20,67.7,29,21,25,79,9.7,21.1,NE,49%,2.1
Karnataka,Mangaluru,Oct-23,67.4,29,23,26,35,10,12.2,N,19%,3.6
Uttar Pradesh,Kanpur,Jan-20,32.5,34,29,31.5,68,8.1,18.1,NW,40%,2.3
Karnataka,Hubli,Jan-20,65.4,35,28,31.5,67,5.8,22.3,E,20%,2.2
Gujarat,Rajkot,Apr-22,78.8,33,26,29.5,55,8.1,14.3,W,54%,3.5
Gujarat,Rajkot,Apr-23,21.2,40,32,36,83,6.9,8.2,SE,90%,1.8
Maharashtra,Mumbai,May-20,46.3,32,20,26,77,4.3,16.8,NE,56%,4.4
Tamil Nadu,Tiruchirappalli,Jul-22,197.4,33,28,30.5,57,6.1,21.4,N,56%,4.6
Gujarat,Surat,Sep-23,377.1,25,18,21.5,56,4,14,S,82%,1
Uttar Pradesh,Varanasi,Dec-20,13,37,27,32,69,9.6,24.9,E,30%,0.1
Tamil Nadu,Coimbatore,Feb-23,65.8,29,24,26.5,86,9.7,17.4,NE,32%,4.7
Uttar Pradesh,Varanasi,Feb-24,62.5,40,34,37,34,7.7,7.6,SW,30%,2.9
Tamil Nadu,Tiruchirappalli,Jun-22,144.4,40,29,34.5,42,6.8,9,E,39%,4.3
Gujarat,Vadodara,Mar-21,38.8,28,16,22,50,9,23.2,NW,31%,2.3
Uttar Pradesh,Kanpur,Jan-21,14.6,28,16,22,71,6,22.4,N,69%,5
Maharashtra,Nagpur,Jun-21,99.9,28,23,25.5,67,6.7,8.5,SE,59%,4.7
Uttar Pradesh,Kanpur,Apr-21,60.4,29,20,24.5,82,8.9,22.2,W,87%,1.6
Maharashtra,Nashik,Jan-23,33.8,38,30,34,76,9.9,20.2,N,50%,4.5
Karnataka,Hubli,Aug-22,281.6,37,31,34,75,5.1,22.2,N,74%,2.9
Karnataka,Mysuru,Apr-20,53.3,42,31,36.5,75,6.6,9.6,N,16%,3.5
Tamil Nadu,Chennai,Apr-20,72.3,32,27,29.5,57,7.8,23,SW,66%,4.3
Uttar Pradesh,Lucknow,Jul-21,122.7,41,31,36,90,5.7,17.8,S,72%,3.2
Maharashtra,Nashik,Sep-21,344.9,29,24,26.5,39,6.8,23.7,SE,84%,3.6
Maharashtra,Nagpur,Jul-23,364.4,38,29,33.5,90,7.9,13.5,E,54%,4
Maharashtra,Nagpur,Apr-24,61.8,37,28,32.5,56,6.5,19.6,E,62%,2.2
Gujarat,Vadodara,Apr-20,68.5,34,29,31.5,38,4.3,8.6,NW,56%,1.2
Tamil Nadu,Chennai,Feb-23,42.1,42,34,38,45,4.4,20.7,NW,76%,3.4
Uttar Pradesh,Lucknow,Sep-20,226.1,38,28,33,48,8.9,10.3,SE,14%,4
Maharashtra,Nagpur,Sep-24,64.4,35,28,31.5,38,7.2,23.5,NE,18%,2
Gujarat,Ahmedabad,Dec-20,31.9,28,19,23.5,62,7.9,13.8,SW,37%,3
Karnataka,Mangaluru,Dec-20,51.5,42,34,38,58,9.6,18.2,S,50%,4.7
Gujarat,Vadodara,Jun-23,318,26,18,22,32,6.1,24.8,NE,82%,4.8
Gujarat,Surat,Jan-21,56.8,40,29,34.5,70,4.5,20.9,NW,82%,2.4
Maharashtra,Pune,Oct-23,17.1,41,29,35,35,5.6,12.2,W,61%,0.5
Maharashtra,Pune,Feb-21,9,33,26,29.5,78,5,6.7,NE,38%,3.7
Gujarat,Surat,May-21,29.8,42,35,38.5,54,7.9,8.1,E,21%,3.2
Karnataka,Hubli,May-24,44.9,37,28,32.5,70,6,15.8,W,84%,2.3
Karnataka,Mangaluru,Apr-21,69.3,38,30,34,55,5.3,15.1,NW,29%,4.4
Gujarat,Rajkot,Jan-22,43.2,32,25,28.5,60,4.5,13.4,S,16%,0.1
Tamil Nadu,Coimbatore,Sep-21,288.9,28,23,25.5,54,4.4,10.4,NW,64%,1.1
Karnataka,Mangaluru,Apr-20,7.8,31,21,26,54,4.9,24.6,N,73%,3.7
Gujarat,Ahmedabad,Jun-23,287,39,29,34,87,8.2,10.5,E,24%,2.8
Maharashtra,Nagpur,Jun-22,231.9,36,29,32.5,42,9.8,13.5,SE,84%,0.3
Karnataka,Bengaluru,Oct-21,24.7,34,23,28.5,62,5.6,17.7,W,72%,3.1
Tamil Nadu,Coimbatore,Sep-20,142.6,29,19,24,51,7.4,9.2,S,50%,2.6
Uttar Pradesh,Varanasi,Jun-21,387.8,34,23,28.5,77,9.2,14.6,E,27%,3.8
Tamil Nadu,Chennai,Apr-23,7.6,25,13,19,50,6.1,9.8,W,40%,0.2
Gujarat,Surat,Aug-24,296,35,30,32.5,61,5,24,SE,90%,5
Tamil Nadu,Chennai,May-24,24.5,38,32,35,49,8.6,13.4,W,72%,4.4
Uttar Pradesh,Kanpur,Apr-22,78.9,33,28,30.5,48,7.3,5.2,NW,48%,2.6
Gujarat,Surat,Dec-22,69.1,26,15,20.5,76,6,20.8,S,63%,3.2
Tamil Nadu,Coimbatore,Sep-21,288.9,28,23,25.5,54,4.4,10.4,NW,64%,1.1
Karnataka,Bengaluru,Jul-22,226.9,32,23,27.5,45,6.5,18.3,NE,21%,2.5
Uttar Pradesh,Agra,Apr-24,46.9,29,18,23.5,60,5.2,9,NW,71%,3
Maharashtra,Nashik,Nov-21,8.4,30,25,27.5,60,4.5,16.2,S,65%,2.2
Uttar Pradesh,Lucknow,Jul-24,16.8,37,32,34.5,85,6.1,18.1,N,81%,0.7
Tamil Nadu,Chennai,Apr-23,7.6,25,13,19,50,6.1,9.8,W,40%,0.2
Tamil Nadu,Chennai,Aug-23,287.5,40,28,34,64,9.7,22,S,23%,3.2
Gujarat,Surat,May-22,5.1,37,30,33.5,46,6,13.3,NW,23%,4
Tamil Nadu,Chennai,Oct-22,59.3,32,27,29.5,39,4.9,9.2,SE,39%,3.5
Gujarat,Ahmedabad,Jul-22,264.8,28,17,22.5,41,4.8,17.5,N,12%,4.6
Karnataka,Mysuru,Aug-21,250.3,26,16,21,57,8.1,11.7,SW,33%,1.5
Karnataka,Mangaluru,Aug-20,341.8,28,22,25,31,6.6,17.4,SE,79%,2.4
Maharashtra,Nagpur,Feb-23,37.4,35,25,30,61,9.2,20.1,S,90%,1.3
Maharashtra,Pune,Apr-22,60.6,42,37,39.5,73,7.2,18.9,W,48%,2.9
Uttar Pradesh,Lucknow,Mar-20,8.7,27,19,23,37,8.5,8.2,E,74%,4.8
Tamil Nadu,Coimbatore,Sep-22,99,33,22,27.5,81,5.1,11.9,S,29%,1
Uttar Pradesh,Kanpur,Aug-24,260.4,35,30,32.5,56,10,15,NW,19%,1.5
Maharashtra,Nagpur,May-22,79.1,27,18,22.5,64,8.2,22.9,SE,51%,1.6
Uttar Pradesh,Agra,Sep-22,262.1,30,22,26,80,4.6,18.7,SE,43%,0.9
Gujarat,Rajkot,Aug-20,118.4,37,25,31,71,9.9,6.2,E,39%,0.1
